##########################################################################################################
# This comment is auto generated by data_analysis.py script from https://github.com/lazicdanilo/LPM01A-lib
# It is used for caching the already calculated data. This comment should not be modified.
# If removed it will be re-created on next run of the script.
#
# This will only be generated if the calculation is done for the
# whole CSV file (flags -s, --start and -e, --end are not used)
#
# Generated on: 03-03-2024_10:42:08
# Calculation time window: 4.717438 s (4717.437999999999 ms)
# Number of values: 4720
# Average current consumption: 7.347662577893055e-06 Ah (0.007347662577893055 mAh)
##########################################################################################################
Current (uA),rx timestamp (us),board timestamps (ms)
13.33,931539,282000
13.58,932506,282000
13.33,932917,282000
15.74,935136,282000
13.33,935546,282000
13.56,936506,282000
15.84,936916,282000
13.33,939129,282000
13.33,939538,282000
13.33,940503,282000
13.33,940912,282000
13.33,943129,282000
13.33,943539,282000
13.33,944521,282000
13.33,944952,282000
13.33,947139,282000
13.33,947551,282000
13.33,948507,282000
13.33,948917,282000
13.33,951129,282000
13.33,952505,282000
13.33,952914,282000
13.33,955134,282000
13.33,955545,282000
13.33,956506,282000
13.33,956917,282000
13.33,959128,282000
13.33,959539,282000
13.33,960504,282000
13.4,960914,282000
13.34,963131,282000
13.33,963541,282000
13.33,964529,282000
13.33,964959,282000
13.33,967132,282000
13.33,967541,282000
13.33,968505,282000
13.33,968915,282000
13.33,971129,282000
13.33,971537,282000
13.33,972510,282000
13.33,972920,282000
13.33,975135,282000
13.33,975547,282000
13.33,976507,282000
13.33,976915,282000
13.33,979129,282000
13.33,979537,282000
13.33,980504,282000
13.33,980914,282000
13.33,983130,282000
13.33,983542,282000
13.33,984531,282000
13.33,984960,282000
13.33,987132,282000
13.33,987543,282000
13.33,988506,282000
15.89,988915,282000
13.33,991130,282000
15.84,991539,282000
13.33,992506,282000
13.33,992915,282000
13.33,995134,282000
13.33,995546,282000
13.33,996506,282000
13.33,996916,282000
13.33,999132,282000
13.33,999541,282000
13.33,1000504,282000
13.33,1000913,282000
13.33,1001881,282000
13.33,1002290,282000
13.33,1004504,282000
13.33,1004961,282000
13.33,1005881,282000
13.33,1006292,282000
13.34,1008505,282000
13.33,1008914,282000
13.33,1009878,282000
13.33,1010288,282000
13.33,1012809,282000
13.33,1013452,282000
13.33,1014117,282000
13.33,1014822,282000
13.33,1016732,282000
13.33,1017370,282000
15.55,1018102,282000
13.33,1018737,282000
13.33,1020725,282000
13.58,1021360,282000
13.33,1022103,282000
13.33,1022742,282000
13.34,1024792,282000
13.33,1025428,282000
13.33,1026106,282000
15.84,1026739,282000
13.33,1028727,282000
15.79,1029362,282000
15.74,1030100,282000
13.59,1030738,282000
15.52,1032725,282000
13.33,1033360,282000
15.66,1034101,282000
15.7,1034792,282000
13.34,1036730,282000
13.33,1037367,282000
13.41,1038100,282000
13.33,1038739,282000
13.33,1040728,282000
15.44,1041365,282000
13.57,1042101,282000
13.35,1042738,282000
13.33,1044752,282000
13.33,1045429,282000
15.74,1046096,282000
13.35,1046732,282000
13.33,1048733,282000
13.33,1049370,282000
13.33,1050101,282000
13.33,1050738,282000
13.33,1052727,282000
15.43,1053366,282000
13.33,1054104,282000
15.87,1054766,282000
13.33,1056733,282000
13.33,1057371,282000
13.33,1058100,282000
13.33,1058737,282000
15.94,1060727,282000
13.33,1061364,282000
13.33,1062102,282000
13.33,1062739,282000
15.58,1064751,282000
13.33,1067715,283000
13.33,1068386,283000
13.34,1069024,283000
15.63,1069983,283000
13.33,1070625,283000
13.33,1071261,283000
13.33,1071895,283000
13.66,1072744,283000
15.06,1073384,283000
13.33,1074100,283000
13.33,1074769,283000
13.33,1076731,283000
13.57,1077369,283000
13.36,1078102,283000
13.33,1078737,283000
13.59,1080726,283000
13.34,1081365,283000
13.33,1082102,283000
13.33,1082739,283000
13.33,1084749,283000
13.33,1085430,283000
13.33,1086096,283000
13.33,1086732,283000
13.33,1088730,283000
13.33,1089367,283000
13.33,1090101,283000
13.33,1091478,283000
13.33,1092114,283000
13.33,1094104,283000
15.65,1094766,283000
13.33,1095516,283000
13.33,1096156,283000
13.33,1098107,283000
13.33,1098748,283000
13.33,1099478,283000
13.33,1100117,283000
13.33,1102105,283000
13.33,1102743,283000
13.33,1103474,283000
13.33,1104109,283000
13.33,1106106,283000
13.35,1106742,283000
13.33,1107474,283000
13.33,1108109,283000
15.54,1110101,283000
13.33,1110736,283000
13.33,1111504,283000
13.33,1112142,283000
13.33,1113883,283000
13.33,1114294,283000
13.33,1115256,283000
15.47,1115691,283000
13.33,1117884,283000
13.6,1118295,283000
15.01,1119256,283000
13.34,1119665,283000
13.66,1121883,283000
13.33,1122293,283000
13.33,1123261,283000
13.33,1123671,283000
13.33,1125882,283000
13.33,1126292,283000
13.33,1127257,283000
13.33,1127666,283000
13.33,1129881,283000
13.33,1130291,283000
13.33,1131255,283000
13.33,1131665,283000
13.66,1133881,283000
13.85,1134291,283000
13.33,1135257,283000
13.33,1135694,283000
13.58,1137885,283000
13.33,1138296,283000
13.33,1139260,283000
13.33,1139670,283000
13.33,1141882,283000
13.33,1142291,283000
13.33,1143257,283000
13.33,1143666,283000
13.33,1145899,283000
13.33,1146310,283000
13.33,1147257,283000
13.33,1147672,283000
13.33,1149886,283000
13.33,1150298,283000
13.33,1151255,283000
15.55,1151665,283000
13.33,1153880,283000
13.33,1154289,283000
13.33,1155256,283000
13.33,1155693,283000
13.33,1157884,283000
13.33,1158297,283000
13.33,1159256,283000
13.33,1159665,283000
13.33,1161882,283000
13.33,1162290,283000
13.33,1163256,283000
13.33,1163664,283000
13.33,1165905,283000
13.33,1166314,283000
13.33,1167257,283000
13.33,1167665,283000
14.93,1169880,283000
13.33,1170289,283000
13.33,1171255,283000
13.33,1171663,283000
13.33,1173881,283000
15.77,1174290,283000
13.33,1175259,283000
13.33,1175669,283000
13.33,1176633,283000
13.33,1177042,283000
13.33,1179257,283000
13.33,1179667,283000
13.33,1180632,283000
13.33,1181040,283000
13.33,1183256,283000
13.33,1183666,283000
13.33,1184631,283000
13.33,1185065,283000
13.33,1187259,283000
13.33,1187671,283000
13.33,1188631,283000
13.34,1189040,283000
13.34,1191256,283000
13.33,1191666,283000
13.33,1192631,283000
13.33,1193042,283000
13.33,1195258,283000
13.41,1195667,283000
13.33,1196634,283000
13.33,1197043,283000
13.33,1199259,283000
13.33,1199672,283000
15.61,1200634,283000
13.33,1201042,283000
13.33,1203257,283000
13.33,1203667,283000
13.33,1204632,283000
13.33,1205062,283000
13.33,1207258,283000
13.33,1207667,283000
13.33,1208632,283000
13.33,1209041,283000
13.33,1211257,283000
13.33,1211666,283000
13.33,1212631,283000
13.33,1213040,283000
13.44,1215256,283000
13.33,1215665,283000
13.34,1216633,283000
13.33,1217043,283000
13.33,1219255,283000
13.33,1219665,283000
13.33,1220630,283000
13.33,1221039,283000
13.33,1223257,283000
13.33,1223667,283000
13.33,1224631,283000
13.33,1225062,283000
15.55,1227261,283000
13.33,1227672,283000
13.33,1228631,283000
13.33,1231259,283000
13.33,1231669,283000
13.33,1232631,283000
13.33,1233039,283000
13.33,1235258,283000
13.33,1235666,283000
13.57,1236635,283000
13.33,1237043,283000
13.33,1239256,283000
13.33,1239667,283000
